dolphin_id,dolphin_id,,dolphin_id_old_key,dolphin_id,dryad_id
59,BJA,,197,ECS,D1581
433,MTS,,365,KST,D1582
409,MIN,,644,TDO,D1583
63,BLI,,450,NES,D1584
674,UHF,,204,ENC,D1585
366,KWI,,629,SUP,D1586
737,ZIP,,319,JBG,D1587
622,SQU,,437,MUR,D1588
487,PEG,,473,OPY,D1589
587,SHC,,502,PKY,D1590
630,SUR,,42,BBL,D1591
487,PEG,,497,PIM,D1592
371,LAU,,150,CTY,D1593
531,PUC,,111,CEY,D1594
587,SHC,,460,NOE,D1595
278,HAR,,679,URS,D1596
378,LIC,,547,RDC,D1597
324,JFR,,273,GUA,D1598
630,SUR,,261,GNO,D1599
194,DWE,,728,WWF,D1600
595,SKF,,608,SMF,D1601
215,FAT,,115,CHK,D1602
719,WNG,,539,QWE,D1603
674,UHF,,576,SBI,D1604
136,COO,,610,SMR,D1605
368,LAN,,459,NJA,D1606
138,COR,,356,KMJ,D1607
700,WAR,,658,TOU,D1608
338,JOY,,53,BGS,D1609
287,HII,,165,DBO,D1610
550,REA,,292,HNR,D1611
509,POI,,69,BLW,D1612
192,DUN,,396,MCL,D1613
193,DUR,,496,PIL,D1614
171,DEM,,666,TUF,D1615
199,EDG,,162,DAI,D1616
353,KIT,,548,RDF,D1617
278,HAR,,528,PTO,D1618
454,NIC,,489,PGA,D1619
630,SUR,,106,CCF,D1620
609,SMO,,612,SNV,D1621
461,NOG,,444,MZT,D1622
700,WAR,,294,HOW,D1623
102,BYT,,237,FSB,D1624
268,GRG,,108,CDB,D1625
169,DEB,,472,OPE,D1626
109,CEB,,346,KAH,D1627
677,URC,,123,CLE,D1628
173,DID,,623,SRP,D1629
171,DEM,,376,LFG,D1630
338,JOY,,476,ORY,D1631
421,MOU,,189,DRT,D1632
622,SQU,,172,DER,D1633
531,PUC,,227,FNZ,D1634
223,FLI,,149,CTN,D1635
378,LIC,,702,WDN,D1636
494,PIC,,212,EZR,D1637
577,SBO,,101,BYP,D1638
371,LAU,,455,NIN,D1639
667,TUK,,386,LNT,D1640
136,COO,,553,RGO,D1641
674,UHF,,177,DLI,D1642
737,ZIP,,74,BMY,D1643
487,PEG,,50,BER,D1644
324,JFR,,252,GGL,D1645
531,PUC,,186,DPS,D1646
609,SMO,,521,PRR,D1647
494,PIC,,139,CPA,D1648
622,SQU,,430,MSN,D1649
704,WED,,721,WOL,D1650
278,HAR,,282,HEL,D1651
462,NOO,,331,JMC,D1652
601,SLI,,100,BWS,D1653
41,BAY,,417,MNS,D1654
138,COR,,676,UMM,D1655
426,MRS,,663,TST,D1656
664,TSU,,33,ATW,D1657
215,FAT,,504,PLR,D1658
577,SBO,,86,BRT,D1659
595,SKF,,205,EPC,D1660
390,LUC,,470,OLP,D1661
630,SUR,,632,SVY,D1662
324,JFR,,314,JAH,D1663
595,SKF,,16,ANE,D1664
138,COR,,348,KBY,D1665
278,HAR,,703,WDS,D1666
219,FEA,,154,CVO,D1667
724,WOR,,397,MCM,D1668
722,WOM,,694,VRB,D1669
601,SLI,,688,VES,D1670
609,SMO,,506,PMP,D1671
254,GHE,,561,RLF,D1672
622,SQU,,159,CYS,D1673
704,WED,,485,PDR,D1674
487,PEG,,692,VLT,D1675
421,MOU,,336,JOC,D1676
288,HKI,,465,NWS,D1677
454,NIC,,573,SAU,D1678
531,PUC,,723,WOP,D1679
494,PIC,,48,BEC,D1680
630,SUR,,184,DOP,D1681
454,NIC,,4,ADR,D1682
622,SQU,,218,FCO,D1683
531,PUC,,362,KRK,D1684
324,JFR,,43,BCP,D1685
487,PEG,,559,RKL,D1686
341,JSE,,44,BCT,D1687
494,PIC,,297,HRB,D1688
595,SKF,,121,CKL,D1689
609,SMO,,364,KSS,D1690
63,BLI,,374,LDO,D1691
287,HII,,383,LKI,D1692
550,REA,,19,ANW,D1693
674,UHF,,251,GEK,D1694
509,POI,,615,SON,D1695
59,BJA,,180,DNZ,D1696
614,SOG,,167,DCH,D1697
9,ALI,,328,JIV,D1698
215,FAT,,575,SBB,D1699
704,WED,,403,MFC,D1700
136,COO,,527,PTB,D1701
461,NOG,,482,PBA,D1702
138,COR,,200,EDM,D1703
199,EDG,,478,OTU,D1704
435,MUM,,516,PPR,D1705
558,RIP,,65,BLM,D1706
161,DAG,,431,MST,D1707
368,LAN,,360,KRG,D1708
484,PCT,,388,LOO,D1709
722,WOM,,653,TOF,D1710
617,SPE,,560,RKT,D1711
409,MIN,,451,NET,D1712
324,JFR,,404,MGC,D1713
338,JOY,,479,OWL,D1714
378,LIC,,515,PPE,D1715
487,PEG,,228,FOA,D1716
421,MOU,,520,PRN,D1717
371,LAU,,508,POF,D1718
134,COL,,524,PSP,D1719
649,THU,,574,SBA,D1720
99,BWE,,401,MES,D1721
398,MCY,,718,WLY,D1722
393,MAC,,246,GBI,D1723
531,PUC,,305,IGB,D1724
136,COO,,85,BRS,D1725
609,SMO,,711,WHR,D1726
368,LAN,,98,BWD,D1727
341,JSE,,141,CPO,D1728
494,PIC,,178,DMK,D1729
577,SBO,,176,DJY,D1730
288,HKI,,140,CPH,D1731
531,PUC,,1,ABA,D1732
324,JFR,,309,INS,D1733
704,WED,,525,PSS,D1734
622,SQU,,727,WUY,D1735
38,BAN,,726,WTY,D1736
199,EDG,,,,
209,ETC,,,,
494,PIC,,,,
341,JSE,,,,
577,SBO,,,,
371,LAU,,,,
288,HKI,,,,
595,SKF,,,,
630,SUR,,,,
704,WED,,,,
371,LAU,,,,
215,FAT,,,,
287,HII,,,,
215,FAT,,,,
223,FLI,,,,
595,SKF,,,,
704,WED,,,,
324,JFR,,,,
494,PIC,,,,
288,HKI,,,,
390,LUC,,,,
622,SQU,,,,
550,REA,,,,
509,POI,,,,
487,PEG,,,,
278,HAR,,,,
194,DWE,,,,
454,NIC,,,,
614,SOG,,,,
577,SBO,,,,
674,UHF,,,,
105,CAP,,,,
531,PUC,,,,
70,BLY,,,,
531,PUC,,,,
609,SMO,,,,
368,LAN,,,,
341,JSE,,,,
494,PIC,,,,
577,SBO,,,,
288,HKI,,,,
667,TUK,,,,
125,CLO,,,,
421,MOU,,,,
630,SUR,,,,
609,SMO,,,,
494,PIC,,,,
622,SQU,,,,
487,PEG,,,,
426,MRS,,,,
595,SKF,,,,
494,PIC,,,,
577,SBO,,,,
136,COO,,,,
609,SMO,,,,
368,LAN,,,,
341,JSE,,,,
587,SHC,,,,
454,NIC,,,,
531,PUC,,,,
324,JFR,,,,
630,SUR,,,,
378,LIC,,,,
317,JAS,,,,
622,SQU,,,,
390,LUC,,,,
215,FAT,,,,
609,SMO,,,,
215,FAT,,,,
136,COO,,,,
487,PEG,,,,
341,JSE,,,,
577,SBO,,,,
595,SKF,,,,
338,JOY,,,,
722,WOM,,,,
199,EDG,,,,
296,HRA,,,,
288,HKI,,,,
342,JUD,,,,
512,POO,,,,
102,BYT,,,,
587,SHC,,,,
368,LAN,,,,
426,MRS,,,,
324,JFR,,,,
704,WED,,,,
454,NIC,,,,
531,PUC,,,,
494,PIC,,,,
281,HED,,,,
433,MTS,,,,
371,LAU,,,,
63,BLI,,,,
95,BUM,,,,
390,LUC,,,,
737,ZIP,,,,
173,DID,,,,
421,MOU,,,,
595,SKF,,,,
409,MIN,,,,
456,NIP,,,,
58,BIS,,,,
293,HOR,,,,
682,VAX,,,,
622,SQU,,,,
63,BLI,,,,
674,UHF,,,,
253,GHA,,,,
737,ZIP,,,,
487,PEG,,,,
677,URC,,,,
659,TRE,,,,
63,BLI,,,,
287,HII,,,,
550,REA,,,,
509,POI,,,,
109,CEB,,,,
136,COO,,,,
609,SMO,,,,
368,LAN,,,,
677,URC,,,,
341,JSE,,,,
699,WAN,,,,
369,LAS,,,,
421,MOU,,,,
556,RIC,,,,
342,JUD,,,,
458,NIT,,,,
656,TOQ,,,,
203,ELW,,,,
163,DAL,,,,
307,IND,,,,
530,PUB,,,,
211,EXF,,,,
570,RUF,,,,
17,ANT,,,,
585,SEV,,,,
620,SPO,,,,
63,BLI,,,,
659,TRE,,,,
435,MUM,,,,
